Alt,Altoona Mountain City,N,
Ana,Los Angeles Angels of Anaheim,Y,
Ari,Arizona Diamondbacks,Y,
Ath,Philadelphia Athletics,N,PNA
Atl,Atlanta Braves,Y,BNA
Bal,Baltimore Orioles,Y,
Bfb,Buffalo Bisons,N,
Bfl,Buffalo Bisons,N,
Blc,Baltimore Canaries,NA,
Blo,Baltimore Orioles,N,
Blt,Baltimore Terrapins,N,
Blu,Baltimore Monumentals,N,
Bna,Boston Red Stockings,NA,ATL
Bos,Boston Red Sox,Y,
Bra,Brooklyn Atlantics,NA,
Brd,Boston Reds,N,
Brg,Brooklyn Gladiators,N,
Brs,Boston Reds,N,
Btt,Brooklyn Tip-Tops,N,
Buf,Buffalo Bisons,N,
Bww,Brooklyn Ward's Wonders,N,
Cbk,Columbus Buckeyes,N,
Cbl,Cleveland Blues,N,
Cen,Philadelphia Centennials,NA,
Cfc,Cleveland Forest Citys,NA,
Chc,Chicago Cubs,Y,CNA
Chh,Chicago Whales,N,
Chp,Chicago Pirates,N,
Chw,Chicago White Sox,Y,
Cin,Cincinnati Reds,Y,
Ckk,Cincinnati Kelly's Killers,N,
Cle,Cleveland Indians,Y,
Cli,Cleveland Infants,N,
Cls,Columbus Solons,N,
Clv,Cleveland Spiders,N,
Cna,Chicago White Stockings,NA,CHC
Cnr,Cincinnati Reds,N,
Col,Colorado Rockies,Y,
Cor,Cincinnati Outlaw Reds,N,
Cpi,Chicago/Pittsburgh (Union League),N,
Det,Detroit Tigers,Y,
Dtn,Detroit Wolverines,N,
Eck,Brooklyn Eckfords,NA,
Fla,Florida Marlins,Y,
Har,Hartford Dark Blues,N,HNA
Hna,Hartford Dark Blues,NA,HAR
Hou,Houston Astros,Y,
Ibl,Indianapolis Blues,N,
Iho,Indianapolis Hoosiers,N,
Ind,Indianapolis Hoosiers,N,
Kcc,Kansas City Cowboys,N,
Kcn,Kansas City Cowboys,N,
Kcp,Kansas City Packers,N,
Kcr,Kansas City Royals,Y,
Kcu,Kansas City Cowboys,N,
Kek,Fort Wayne Kekiongas,NA,
Lad,Los Angeles Dodgers,Y,
Lgr,Louisville Grays,N,
Lou,Louisville Colonels,N,
Man,Middletown Mansfields,NA,
Mar,Baltimore Marylands,NA,
Mil,Milwaukee Brewers,Y,
Min,Minnesota Twins,Y,
Mla,Milwaukee Brewers,N,
Mlg,Milwaukee Grays,N,
Mlu,Milwaukee Brewers,N,
Nat,Washington Nationals,NA,
New,Newark Pepper,N,
Nhv,New Haven Elm Citys,NA,
Nna,New York Mutuals,NA,NYU
Nyi,New York Giants,N,
Nym,New York Mets,Y,
Nyp,New York Metropolitans,N,
Nyu,New York Mutuals,N,NNA
Nyy,New York Yankees,Y,
Oak,Oakland Athletics,Y,
Oly,Washington Olympics,NA,
Pbb,Pittsburgh Burghers,N,
Pbs,Pittsburgh Rebels,N,
Pha,Philadelphia Athletics,N,
Phi,Philadelphia Phillies,Y,
Phk,Philadelphia Keystones,N,
Phq,Philadelphia Athletics,N,
Pit,Pittsburgh Pirates,Y,
Pna,Philadelphia Athletics,NA,ATH
Pro,Providence Grays,N,
Pws,Philadelphia White Stockings,NA,
Res,Elizabeth Resolutes,NA,
Ric,Richmond Virginians,N,
Roc,Rochester Broncos,N,
Rok,Rockford Forest Citys,NA,
Sbs,St. Louis Brown Stockings,N,SNA
Sdp,San Diego Padres,Y,
Sea,Seattle Mariners,Y,
Sfg,San Francisco Giants,Y,
Sli,St. Louis Terriers,N,
Slm,St. Louis Maroons,N,
Slr,St. Louis Red Stockings,NA,
Sna,St. Louis Brown Stockings,NA,SBS
Stl,St. Louis Cardinals,Y,
Stp,St. Paul Apostles,N,
Syr,Syracuse Stars,N,
Sys,Syracuse Stars,N,
Tbd,Tampa Bay Rays,Y,
Tex,Texas Rangers,Y,
Tlm,Toledo Maumees,N,
Tol,Toledo Blue Stockings,N,
Tor,Toronto Blue Jays,Y,
Tro,Troy Haymakers,NA,
Trt,Troy Trojans,N,
Was,Washington Senators,N,
Wbl,Washington Blue Legs,NA,
Wes,Keokuk Westerns,NA,
Wil,Wilmington Quicksteps,N,
Wna,Washington Nationals,N,
Wnl,Washington Nationals,N,
Wnt,Washington Nationals,NA,
Wor,Worcester Ruby Legs,N,
Wsn,Washington Nationals,Y,
Wst,Washington Statesmen,N,
